filescaptured,esd_program,bdec,acronym,nickname,solicitation.number,nspires_id,nspires_title,nspires_type,sponsor,fy,annual_funds_avail,num_selected,max_performance_years,total_funds_avail,solicitation_url,selections_url,notes,link_to_rfp_pd
FALSE,,FALSE,,,,NNH13ZDA001N-CRYO,Cryospheric Science,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,,,,NNH15ZDA001N-CRYO,Cryospheric Science,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,,,,NNH17ZDA001N-CRYO,Cryospheric Science,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,,,,NNH17ZDA001N-CYGNSS,CYGNSS Competed Science Team,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,ec,TRUE,07-DEC07,07-DEC07,07-DEC07,NNH07ZDA001N-DECISIONS,Decision Support through Earth Science Research Results,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,ec,TRUE,08-DEC08,08-DEC08,08-DEC08,NNH08ZDA001N-DECISIONS,Decision Support through Earth Science Research Results,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA001N-INCA,Development and Testing of Potential Indicators For The National Climate Assessment,NRA,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH18ZDA007J,Draft Earth Venture Instrument 5 (EVI-5) Program Element Appendix,AO,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,,,,NNH14ZDA001N-DSCOVR,DSCOVR Earth Science Algorithms,NRA,NASA:HQ:SMD:ES,2014,,,,,,,,
FALSE,,FALSE,,,,NNH10ZDA001N-PHFEAS,Earth Science Applications Feasibility Studies: Public Health,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,,,,NNH18ZDA001N-DISASTERS,Earth Science Applications: Disaster Risk Reduction and Response,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,,,,NNH13ZDA001N-HEALTH,Earth Science Applications: Health and Air Quality,NRA,NASA:HQ:SMD:ES,2013,,,,,,,,
FALSE,,FALSE,,,,NNH17ZDA001N-HAQ,Earth Science Applications: Health and Air Quality,NRA,NASA:HQ:SMD:ES,2017,,,,,,,,
FALSE,,FALSE,,,,NNH15ZDA001N-SEB,Earth Science Applications: Socioeconomic Benefits,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,,,,NNH11ZDA001N-WATER,Earth Science Applications: Water Resources,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,,,,NNH11ZDA001N-FIRES,Earth Science Applications: Wildland Fires,NRA,NASA:HQ:SMD:ES,2011,,,,,,,,
FALSE,,FALSE,,,,NNH08ZDA001N-GULF,Earth Science for Decision Making: Gulf of Mexico Region,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,,,,NNH19ZDA001N-ESROGSS,Earth Science Research from Operational Geostationary Satellite Systems,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,,,,NNH08ZDA001N-ESUSPI,Earth Science U.S. Participating Investigator,NRA,NASA:HQ:SMD:ES,2008,,,,,,,,
FALSE,,FALSE,,,,NNH16ZDA001N-ESUSPI,Earth Science U.S. Participating Investigator,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,,,,NNH07ZDA001N-ESI,Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,,,,NNH10ZDA001N-ESI,Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,,,,NNH15ZDA001N-ESI,Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2015,,,,,,,,
FALSE,,FALSE,,,,NNH16ZDA001N-ESI,Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2016,,,,,,,,
FALSE,,FALSE,,,,NNH18ZDA001N-ESI,Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
FALSE,,FALSE,,,,NNH19ZDA001N-ESI,Earth Surface and Interior,NRA,NASA:HQ:SMD:ES,2019,,,,,,,,
FALSE,,FALSE,,,,NNH10ZDA001N-ESDRERR,Earth System Data Records Uncertainty Analysis,NRA,NASA:HQ:SMD:ES,2010,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA006O-EVI3,Earth Venture Instrument - 3,AO,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH12ZDA006O-EVI4,Earth Venture Instrument - 4,AO,NASA:HQ:SMD:ES,2012,,,,,,,,
FALSE,,FALSE,,,,NNH07ZDA001N-ESGIC,EarthScope: The InSAR and Geodetic Imaging Component,NRA,NASA:HQ:SMD:ES,2007,,,,,,,,
FALSE,,FALSE,ECOSTRES18,ECOSTRESSsat18,,NNH18ZDA001N-ECOSTRESS,ECOSTRESS Science and Applications Team,NRA,NASA:HQ:SMD:ES,2018,,,,,,,,
