Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
(N/A),80NSSC18K1064 P00005,University of South Carolina,HQ,COOPERATION AND ADAPTABILITY IN MICROBIAL MATS FROM EXTREME ENVIRONMENTS: QUORUM SENSING AND ITS RELATION TO EARLY LIFE ON EARTH AND ELSEWHERE,EXOBIOLOGY,Alan Decho,Lindsay Hays,7/12/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
4200766464,80NSSC18K1067 P00007,University of Florida-Gainsville(Division of Sponsored Research),HQ,THE SPATIAL REDEPLOYMENT OF CONSERVED DEVELOPMENTAL SIGNALING PATHWAYS FUELED RADICAL BODY PLAN EVOLUTION DURING THE CAMBRIAN EXPLOSION.,EXOBIOLOGY,Mark Martindale,Lindsay Hays,6/8/2021,7/1/2018,6/30/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1067 P00008,University of Florida - Gainesville,HQ,THE SPATIAL REDEPLOYMENT OF CONSERVED DEVELOPMENTAL SIGNALING PATHWAYS FUELED RADICAL BODY PLAN EVOLUTION DURING THE CAMBRIAN EXPLOSION.,EXOBIOLOGY,Mark Martindale,Lindsay Hays,7/7/2021,7/1/2018,6/30/2022,Approved/ Awarded,Distribution
4200763823,80NSSC18K1068 P00006,UNIVERSITY OF TENNESSEE - KNOXVILLE,HQ,"SOIL DEVELOPMENT, BRAIDPLAIN DEPOSITION, AND POTENTIAL TERRESTRIAL COLONIZATION IN THE CAMBRIAN OF EASTERN CALIFORNIA",EXOBIOLOGY,CHRISTOPHER FEDO,Lindsay Hays,4/16/2021,6/6/2018,6/5/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1068 P00007,UNIVERSITY OF TENNESSEE - KNOXVILLE,HQ,"SOIL DEVELOPMENT, BRAIDPLAIN DEPOSITION, AND POTENTIAL TERRESTRIAL COLONIZATION IN THE CAMBRIAN OF EASTERN CALIFORNIA",EXOBIOLOGY,CHRISTOPHER FEDO,Lindsay Hays,6/3/2021,6/6/2018,1/31/2023,Approved/ Awarded,Distribution
(N/A),80NSSC18K1069 P00003,"Cornell University, Inc",HQ,SUN GLIINTS ON HYDROCARBON SEAS: USING WIND-WAVES TO CONSTRAIN SURFACE WINDS ON TITAN,CASSINI DATA ANALYSIS,ALEXANDER HAYES,Lucas Paganini,9/28/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1071 P00001,UNIVERSITY OF IDAHO,HQ,INVESTIGATING THE ENCELADUS PLUME WITH CASSINI-VIMS REMOTE-SENSING DATA,Cassini Data Analysis,Matthew Hedman,Doris Daou,3/25/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1072 P00004,Johns Hopkins University,HQ,AGE AND COMPOSITION OF MERCURY'S PYROCLASTIC DEPOSITS,DISCOVERY DATA ANALYSIS,LAUREN JOZWIAK,Doris Daou,6/10/2021,6/11/2018,6/10/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1077 P00003,UNIVERSITY OF CALIFORNIA - LOS ANGELES,HQ,Full Particle Self-Consistent Simulations of a Planetary Magnetosphere,Heliophysics Supporting Research,David Schriver,Patrick Koehn,7/12/2021,6/18/2018,6/17/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1078 P00004,(N/A),HQ,CHAOTICALLY MEDIATED BIOCHEMISTRY AND VESICULAR PROTOCELL ASSEMBLY IN PREBIOTIC HYDROTHERMAL MICROENVIRONMENTS,EXOBIOLOGY,VICTOR UGAZ,Lindsay Hays,8/23/2021,6/11/2018,8/31/2021,Approved/ Awarded,Distribution
4200780322,80NSSC18K1078 P00005,(N/A),HQ,CHAOTICALLY MEDIATED BIOCHEMISTRY AND VESICULAR PROTOCELL ASSEMBLY IN PREBIOTIC HYDROTHERMAL MICROENVIRONMENTS,EXOBIOLOGY,VICTOR UGAZ,Lindsay Hays,9/22/2021,6/11/2018,8/31/2021,Approved/ Awarded,Distribution
(N/A),80NSSC18K1078 P00006,(N/A),HQ,CHAOTICALLY MEDIATED BIOCHEMISTRY AND VESICULAR PROTOCELL ASSEMBLY IN PREBIOTIC HYDROTHERMAL MICROENVIRONMENTS,EXOBIOLOGY,VICTOR UGAZ,Lindsay Hays,12/2/2021,6/11/2018,8/31/2022,Approved/ Awarded,Distribution
(N/A),80NSSC18K1080 P00011,Johns Hopkins University,JSC,MECHANISMS OF RADIATION-INDUCED CHANGES IN SUSTAINED ATTENTION AND SOCIAL PROCESSING.,APPENDIX E: SPACE RADIOBIOLOGY AND HUMAN HEALTH COUNTERMEASURES TOPICS,CATHERINE DAVIS,LUCY BARNES-MOTEN,12/13/2021,4/15/2018,9/30/2020,Approved/ Awarded,Distribution
