Purchase Requisition Number,Grant Number,Institution,NASA Center,Proposal Title,Program Title,Principal Investigator Name,Technical Officer,Award Date,Performance Start Date,Performance End Date,Status,Description of Action
4200304667,NNX08AL30G S02,MISSISSIPPI STATE UNIVERSITY,MSFC,ADMINISTRATIVE - NO COST EXTENSION,UNSOLICITED,STEVE DANIEWICZ,KRISTIN MORGAN,12/11/2009,4/7/2008,8/15/2010,Awarded,Distribution
4200292397,NNX08AL31A S02,UNIVERSITY OF MINNESOTA,ARC,FUNDING - INCREMENTAL YEAR 2 REVIEWED AND APPROVED FOR FUNDING,FUNDAMENTAL AERONAUTICS PROGRAM: SUPERSONIC PROJECTS,GRAHAM CANDLER,SCOTT MURMAN,6/3/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200303122,NNX08AL31A S03,UNIVERSITY OF MINNESOTA,ARC,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,FUNDAMENTAL AERONAUTICS PROGRAM: SUPERSONIC PROJECTS,GRAHAM CANDLER,SCOTT MURMAN,7/20/2009,4/1/2008,3/31/2011,Awarded,Distribution
4200293090,NNX08AL32G S01,COLORADO STATE UNIVERSITY,GSFC,FUNDING ? YEAR 2 REVIEWED AND APPROVED FOR FUNDING,UNSOLICITED,CHRISTIAN KUMMEROW,ERICH STOCKER,6/4/2009,5/1/2008,4/30/2011,Awarded,Distribution
4200245255,NNX08AL35G S01,UNIVERSITY OF CALIFORNIA - SANTA CRUZ,GSFC,ADMINISTRATIVE - NO COST EXTENSION,SUZAKU GUEST OBSERVER - CYCLE 2,DAVID SMITH,KOJI MUKAI,5/13/2009,4/28/2008,4/27/2010,Awarded,Distribution
4200295957,NNX08AL38G S01,UNIVERSITY OF CHICAGO,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,ASTROPHYSICS THEORY AND FUNDAMENTAL PHYSICS,ANDREY KRAVTSOV,THIERRY LANZ,6/5/2009,4/3/2008,4/2/2011,Awarded,Distribution
4200290533,NNX08AL39G S01,UNIVERSITY OF KANSAS,HQ,FUNDING -YEAR 2 REVIEWED AND APPROVED FOR FUNDING,ASTROPHYSICS THEORY AND FUNDAMENTAL PHYSICS,MIKHAIL MEDVEDEV,THIERRY LANZ,5/19/2009,4/3/2008,4/2/2011,Awarded,Distribution
4200289386,NNX08AL40G S01,PENNSYLVANIA STATE UNIVERSITY,HQ,FUNDING - INCREMENTAL,ASTROPHYSICS THEORY AND FUNDAMENTAL PHYSICS,PETER MESZAROS,THIERRY LANZ,4/22/2009,4/3/2008,4/2/2011,Awarded,Distribution
4200297645,NNX08AL41G S01,UNIVERSITY OF CALIFORNIA - SANTA CRUZ,HQ,FUNDING - YEAR 2 REVIEWED AND APPROVED FOR FUNDING,ASTROPHYSICS THEORY AND FUNDAMENTAL PHYSICS PROGRAM,DOUGLAS LIN,THIERRY LANZ,6/11/2009,4/3/2008,4/2/2011,Awarded,Distribution
4200295933,NNX08AL42G S01,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,HQ,FUNDING ? YEAR 2 REVIEWED AND APPROVED FOR FUNDING,ASTROPHYSICS THEORY AND FUNDAMENTAL PHYSICS,SCOTT HUGHES,THIERRY M. LANZ,6/5/2009,4/3/2008,4/2/2011,Awarded,Distribution
